name,date,length,location,application_timeframe,description,link
AI4ALL,All dates range between late June - early August,Length ranges between,"Arizona State University, AZ; Boston University, MA; Carnegie Mellon University, PA; Columbia University, NY; Georgia Tech University, GA; Princeton University, NJ; Seattle University, WA; Simon Fraser University, BC, Canada; Stanford University, CA; University of California Berkeley, CA; University of California San Francisco, CA; University of Maryland, MD; University of Michigan, MI; University of Pennsylvania, PA; University of Texas at El Paso, TX; University of Washington, WA
",Dependent on the specific university program,Summer program focused on supporting underrepresented communities in AI. The program includes course work and a final project.,https://ai-4-all.org/summer-programs/
Cornell Engineering Experience,Late June - early August,Six-week session,"Cornell University, Ithaca, NY",Rolling admissions that close mid-June,"A residential program that includes lab exercises, team projects, guest speakers, and field trips. It also features a design challenge and emphasizes career exploration of the field of engineering.",https://sce.cornell.edu/precollege/program/engineering
National High School Game Academy,Late June - early August,Six-week session,"Carnegie Mellon University, Pittsburgh, PA",Rolling admissions that close mid-March,"Summer program focused on video game development; blending art, music, design and programming. The first three weeks include instruction, while the second half provides students with the opportunity to make their own original video game.",https://www.cmu.edu/pre-college/academic-programs/game-academy.html#curriculum
Summer Academy for Math and Science (SAMS),Late June - early August,Six-week session,"Carnegie Mellon University, Pittsburgh, PA",Rolling admissions that close mid-March,"A summer program providing opportunities to students from underrepresented communities. It includes math and science curriculum, seminars and professional/academic development workshops.",https://www.cmu.edu/pre-college/academic-programs/sams.html#applicationrequirements
Columbia Summer Immersion,Multiple sessions running from late June - mid-August,One-week and three-week sessions,"Columbia University, New York, NY",Rolling admissions that close in June-July depending on the session,A summer program that offers courses on technology and computer programming as well as general STEM.,http://precollege.sps.columbia.edu/highschool/online/courses/3-week
Computer Science Summer Institute (CSSI),Most dates range between early July - mid-August,Three-week sessions,"Alabama A&M University, AL; North Carolina Central University, NC; California State University Monterey Bay, CA; California State University Chico, CA; California State University Dominguez Hills, CA; Make School, CA; Loyola Marymount University, CA; Northeastern Illinois University, IL; Medgar Evers College City University of New York, NY; University of Bridgeport, CT; Queens College City University of New York, NY; San Jose State University, CA; University of North Florida, FL; Atlanta, GA; Cambridge, MA; Chicago, IL; Detroit, MI; Washington D.C.; Los Angeles, CA; Mountain View, CA; New York City, NY; Pittsburgh, PA; Seattle, WA; Waterloo, ON, Canada",Admissions close late February,"A three-week introductory computer science program for graduating high school seniors, with an emphasis on supporting underrepresented communities. It aims to help develop technical skills, networking as well as exposure to Google's environment.",https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute/#!?detail-content-tabby_activeEl=overview
Harvard Pre-College Program,Three sessions running late June - early August,Multiple two-week sessions and a seven-week session,"Harvard University, Cambridge, MA",Admissions close mid-May,"A rigorous summer program with courses offered focusing on areas of STEM. Depending on the length of the program, students can receive college credit.",https://www.summer.harvard.edu/
STEM for Rising 9th and 10th Graders,Mid-July,Two-week session,"Brown University, Providence, RI",,"A summer program for rising 9th and 10th graders including academic content, laboratory and/or field exercises. Participants also work on a research or design challenge throughout the program.",https://precollege.brown.edu/stem/
BU Research in Science & Engineering Program (RISE),Early July - mid-August,Six-week session,"Boston University, Boston, MA",Admissions close late February,"A summer program for rising seniors offering two intensive research opportunities under the guidance of Boston University faculty, postdoctoral fellows and graduate students.",https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/
Secondary Student Training Program,Mid-June - late July,Six-week session,"University of Iowa, Iowa City, IA",Admissions close mid-January,A summer research program where rising juniors and seniors can complete a university-level research project with a research group and experience life as a university student.,https://belinblank.education.uiowa.edu/students/sstp/#about
International Summer School for Young Physicists (ISSYP),Mid-July - late July,Two-week session,"Perimeter Institute, Waterloo, Ontario, Canada",Admissions close late March,"A physics-focused summer program for rising seniors and rising college freshman. It features presentations, lab tours, and other opportunities to study modern physics.",https://perimeterinstitute.ca/outreach/students/programs/international-summer-school-young-physicists
